Course Title,Instructors,Course Subject,Total Course Hours (Thousands),Course_Level,Pre_Requirement,Course_Price,Placement_Opportunity,Course_Relevancy,Expected_Package,EMI_Available,Financial_Aid,Offer_Certificate,soup
Becoming an Entrepreneur,Laurie Stach,"Government, Health, and Social Science",37.86,Advanced,No Prerequisite,650.0,Yes,2016,14,No,No,No,"""Title"": Becoming an Entrepreneur, ""Level"": Advanced, ""Price"": 650.0, ""Duration"": 37.86, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": Yes, ""Course_Relevancy"": Based on 2016 Market Demand, ""Expected_Package"": 14 to 15 LPA, ""EMI_Available"": No, ""Financial_Aid"": No, ""Offer_Certificate"": No, ""Metadata"": Government, Health, and Social Science"
Circuits and Electronics: Basic Circuit Analysis,"Anant Agarwal, Gerald Sussman, Piotr Mitros, Chris Terman, Bonnie Lam","Science, Technology, Engineering, and Mathematics",56.54,Advanced,No Prerequisite,0.0,Yes,2016,11,No,Yes,No,"""Title"": Circuits and Electronics: Basic Circuit Analysis, ""Level"": Advanced, ""Price"": Free, ""Duration"": 56.54, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": Yes, ""Course_Relevancy"": Based on 2016 Market Demand, ""Expected_Package"": 11 to 12 LPA, ""EMI_Available"": No, ""Financial_Aid"": Yes, ""Offer_Certificate"": No, ""Metadata"": Science, Technology, Engineering, and Mathematics"
"Circuits and Electronics: Amplification, Speed, and Delay","Anant Agarwal, Gerald Sussman, Piotr Mitros, Chris Terman, Bonnie Lam","Science, Technology, Engineering, and Mathematics",7.09,Advanced,No Prerequisite,25.0,Yes,2016,3,Yes,No,No,"""Title"": Circuits and Electronics: Amplification, Speed, and Delay, ""Level"": Advanced, ""Price"": 25.0, ""Duration"": 7.09, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": Yes, ""Course_Relevancy"": Based on 2016 Market Demand, ""Expected_Package"": 3 to 4 LPA, ""EMI_Available"": Yes, ""Financial_Aid"": No, ""Offer_Certificate"": No, ""Metadata"": Science, Technology, Engineering, and Mathematics"
Optical Materials and Devices,Caroline Ross,"Science, Technology, Engineering, and Mathematics",11.1,Advanced,No Prerequisite,0.0,No,2016,20,No,No,No,"""Title"": Optical Materials and Devices, ""Level"": Advanced, ""Price"": Free, ""Duration"": 11.1, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": No, ""Course_Relevancy"": Based on 2016 Market Demand, ""Expected_Package"": 20 to 21 LPA, ""EMI_Available"": No, ""Financial_Aid"": No, ""Offer_Certificate"": No, ""Metadata"": Science, Technology, Engineering, and Mathematics"
World Religions Through their Scriptures: Hinduism,Neelima Shukla-Bhatt,"Humanities, History, Design, Religion, and Education",18.76,Advanced,No Prerequisite,0.0,Yes,2016,8,No,Yes,No,"""Title"": World Religions Through their Scriptures: Hinduism, ""Level"": Advanced, ""Price"": Free, ""Duration"": 18.76, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": Yes, ""Course_Relevancy"": Based on 2016 Market Demand, ""Expected_Package"": 8 to 9 LPA, ""EMI_Available"": No, ""Financial_Aid"": Yes, ""Offer_Certificate"": No, ""Metadata"": Humanities, History, Design, Religion, and Education"
Implementation and Evaluation of Educational Technology,"Eric Klopfer, Elizabeth Huttner-Loan","Humanities, History, Design, Religion, and Education",8.59,Advanced,No Prerequisite,0.0,Yes,2016,7,No,No,No,"""Title"": Implementation and Evaluation of Educational Technology, ""Level"": Advanced, ""Price"": Free, ""Duration"": 8.59, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": Yes, ""Course_Relevancy"": Based on 2016 Market Demand, ""Expected_Package"": 7 to 8 LPA, ""EMI_Available"": No, ""Financial_Aid"": No, ""Offer_Certificate"": No, ""Metadata"": Humanities, History, Design, Religion, and Education"
First Nights: Symphonie Fantastique,Tom Kelly,"Humanities, History, Design, Religion, and Education",1.71,Advanced,No Prerequisite,900.0,Yes,2016,4,Yes,No,No,"""Title"": First Nights: Symphonie Fantastique, ""Level"": Advanced, ""Price"": 900.0, ""Duration"": 1.71, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": Yes, ""Course_Relevancy"": Based on 2016 Market Demand, ""Expected_Package"": 4 to 5 LPA, ""EMI_Available"": Yes, ""Financial_Aid"": No, ""Offer_Certificate"": No, ""Metadata"": Humanities, History, Design, Religion, and Education"
Introduction to Family Engagement in Education,Karen Mapp,"Humanities, History, Design, Religion, and Education",4.26,Advanced,No Prerequisite,0.0,Yes,2016,8,No,Yes,No,"""Title"": Introduction to Family Engagement in Education, ""Level"": Advanced, ""Price"": Free, ""Duration"": 4.26, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": Yes, ""Course_Relevancy"": Based on 2016 Market Demand, ""Expected_Package"": 8 to 9 LPA, ""EMI_Available"": No, ""Financial_Aid"": Yes, ""Offer_Certificate"": No, ""Metadata"": Humanities, History, Design, Religion, and Education"
Introduction to Control System Design,"Jacob White, Joe Steinmeyer","Science, Technology, Engineering, and Mathematics",15.62,Advanced,No Prerequisite,725.0,Yes,2016,19,No,No,No,"""Title"": Introduction to Control System Design, ""Level"": Advanced, ""Price"": 725.0, ""Duration"": 15.62, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": Yes, ""Course_Relevancy"": Based on 2016 Market Demand, ""Expected_Package"": 19 to 20 LPA, ""EMI_Available"": No, ""Financial_Aid"": No, ""Offer_Certificate"": No, ""Metadata"": Science, Technology, Engineering, and Mathematics"
Introduction to State Space Control,"Jacob White, Joe Steinmeyer","Science, Technology, Engineering, and Mathematics",3.22,Advanced,No Prerequisite,525.0,No,2016,9,Yes,No,No,"""Title"": Introduction to State Space Control, ""Level"": Advanced, ""Price"": 525.0, ""Duration"": 3.22, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": No, ""Course_Relevancy"": Based on 2016 Market Demand, ""Expected_Package"": 9 to 10 LPA, ""EMI_Available"": Yes, ""Financial_Aid"": No, ""Offer_Certificate"": No, ""Metadata"": Science, Technology, Engineering, and Mathematics"
Magnetic Materials and Devices,Caroline Ross,"Science, Technology, Engineering, and Mathematics",6.87,Advanced,No Prerequisite,0.0,No,2016,11,No,Yes,No,"""Title"": Magnetic Materials and Devices, ""Level"": Advanced, ""Price"": Free, ""Duration"": 6.87, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": No, ""Course_Relevancy"": Based on 2016 Market Demand, ""Expected_Package"": 11 to 12 LPA, ""EMI_Available"": No, ""Financial_Aid"": Yes, ""Offer_Certificate"": No, ""Metadata"": Science, Technology, Engineering, and Mathematics"
